ANO_TABELA;CD_SERVIÇO_HONORARIO;FORA_ROL;RESTRICAO_PRESIDENCIA;TP_SERVIÇO_ATENDIMENTO;SERVICO;NM_SERV_HONORARIO;CD_PROCEDIMENTO_TUSS;NM_PROCEDIMENTO_TUSS;DS_PROC_EQUIVALENTES;CD_TIPO_ACOMODACAO;DS_TIPO_ACOMODACAO;CD_TIPO_REDE;DS_TIPO_REDE_ATENDIMENTO;FL_RESTRICAO_AMBULATORIAL;INDIVIDUAL;EMPRESARIAL;URGENCIA;ELETIVA;TAXAS;MATERIAL;MEDICAMENTO;CONSULTA_HONORARIO;ANESTESISTA;AUXILIAR;LIVRO;WEB;PE;VALOR_ATUAL;VALOR_PROPOSTO;IMPACTO(%)
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP1117;NDS 115 (SP1117);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP204;NDS 115 (SP204);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP762;NDS 1201 (SP762);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP249;NDS 125 (SP249);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP250;NDS 130 (SP250);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;AE165;NDS 140 (AE165);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP1116;NDS 140 (SP1116);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP201;NDS 140 (SP201);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;AE297;NDS 150 (AE297);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
1240;10102019;NÃO;NÃO;4;INTERNACAO E/OU PQA;VISITA HOSPITALAR ( PACIENTE INTERNADO );10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);00010090 / 00020010 / 00020028 / 90012631 / 90012640 / 90012658 / 90012666 / 90012674 / 90013034 / 90013042 / 90013050 / 90013069 / 90013077 / 90013107 / 90013115 / 98101035;99;TODAS AS ACOMODAÇÕES;SP251;NDS 150 (SP251);N;S;S;S;N;N;N;N;S;N;N;N;N;;107,12;113,39;5,85
